,site_name_left,site_id_left,geometry,index_right,site_name_right,site_id_right,distance
0,Grand Mesa,2C12,POINT (742229 4326414),550,Mesa Lakes,622:CO:SNTL,12408.88321740334
158,American River Basin,Caples Lake,POINT (757215.938698268 4288786.9467831645),550,Mesa Lakes,622:CO:SNTL,38566.78100289985
574,Sagehen Creek,Forest,POINT (737377.327598389 4368090.442602993),550,Mesa Lakes,622:CO:SNTL,44312.463166156
68,Boise River Basin,Banner Open,POINT (640697.6793850336 4907203.549238354),544,Marquette,616:WY:SNTL,458.72731127510804
114,East River,Open 6,POINT (328364.1330315411 4310498.494300208),233,Rockwood GS,1309:UT:SNTL,63147.71417828955
210,Cameron Pass,Joe Wright,POINT (424323.5899999852 4486303.232993747),688,Snowbird,766:UT:SNTL,20512.52938275259
336,Fraser Experimental Forest,JPL 1,POINT (424541.15567451494 4417657.214594924),219,Santaquin Meadows,1280:UT:SNTL,14183.045596471076
462,Jemez River,BA Flux Tower,POINT (361743.37259431195 3972674.013411702),115,Chalender,1139:AZ:SNTL,81461.12557622061
478,Little Cottonwood Canyon,Alta Collins,POINT (446677.2348961597 4491448.5362131),232,Atwater,1308:UT:SNTL,2223.9117633014494
492,Mammoth Lakes,CUES,POINT (320983.98673242074 4168172.7013325742),195,Suu Ranch,1248:UT:SNTL,10175.06304790832
507,Niwot Ridge,C1,POINT (453402.38875696686 4431581.63313459),609,Payson R.S.,686:UT:SNTL,13577.02225304617
594,Senator Beck,Senator Beck,POINT (260320.022260859 4199003.595942284),513,Little Grassy,583:UT:SNTL,47887.83902675344
